Gemeinde|Art|Landkreis|Bezirk|AGS
Ködnitz|Gemeinde|Kulmbach|Oberfranken|09-477-127
Köfering|Gemeinde|Regensburg|Oberpfalz|09-375-161
Kohlberg|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-131
Kolbermoor|Stadt|Rosenheim|Oberbayern|09-187-150
Kolitzheim|Gemeinde|Schweinfurt|Unterfranken|09-678-150
Kollnburg|Gemeinde|Regen|Niederbayern|09-276-128
Königsberg in Bayern|Stadt|Haßberge|Unterfranken|09-674-164
Königsbrunn|Stadt|Augsburg|Schwaben|09-772-163
Königsdorf|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-134
Königsfeld|Gemeinde|Bamberg|Oberfranken|09-471-151
Königsmoos|Gemeinde|Neuburg-Schrobenhausen|Oberbayern|09-185-163
Königstein|Markt|Amberg-Sulzbach|Oberpfalz|09-371-135
Konnersreuth|Markt|Tirschenreuth|Oberpfalz|09-377-131
Konradsreuth|Gemeinde|Hof|Oberfranken|09-475-142
Konzell|Gemeinde|Straubing-Bogen|Niederbayern|09-278-143
Kösching|Markt|Eichstätt|Oberbayern|09-176-139
Kößlarn|Markt|Passau|Niederbayern|09-275-131
Kottgeisering|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-131
Kötz|Gemeinde|Günzburg|Schwaben|09-774-148
Kraftisried|Gemeinde|Ostallgäu|Schwaben|09-777-144
Kraiburg am Inn|Markt|Mühldorf am Inn|Oberbayern|09-183-124
Krailling|Gemeinde|Starnberg|Oberbayern|09-188-127
Kranzberg|Gemeinde|Freising|Oberbayern|09-178-137
Kreuth|Gemeinde|Miesbach|Oberbayern|09-182-124
Kreuzwertheim|Markt|Main-Spessart|Unterfranken|09-677-151
Krombach|Gemeinde|Aschaffenburg|Unterfranken|09-671-138
Kronach|Stadt|Kronach|Oberfranken|09-476-145
Kronburg|Gemeinde|Unterallgäu|Schwaben|09-778-161
Kröning|Gemeinde|Landshut|Niederbayern|09-274-145
Krumbach|Stadt|Günzburg|Schwaben|09-774-150
Krummennaab|Gemeinde|Tirschenreuth|Oberpfalz|09-377-132
Krün|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-122
Kühbach|Markt|Aichach-Friedberg|Schwaben|09-771-144
Kühlenthal|Gemeinde|Augsburg|Schwaben|09-772-166
Kulmain|Gemeinde|Tirschenreuth|Oberpfalz|09-377-133
Kulmbach|Große Kreisstadt|Kulmbach|Oberfranken|09-477-128
Kumhausen|Gemeinde|Landshut|Niederbayern|09-274-146
Kümmersbruck|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-136
Kunreuth|Gemeinde|Forchheim|Oberfranken|09-474-145
Künzing|Gemeinde|Deggendorf|Niederbayern|09-271-128
Kupferberg|Stadt|Kulmbach|Oberfranken|09-477-129
Küps|Markt|Kronach|Oberfranken|09-476-146
Kürnach|Gemeinde|Würzburg|Unterfranken|09-679-156
Kutzenhausen|Gemeinde|Augsburg|Schwaben|09-772-167
Laaber|Markt|Regensburg|Oberpfalz|09-375-162
Laberweinting|Gemeinde|Straubing-Bogen|Niederbayern|09-278-144
Lachen|Gemeinde|Unterallgäu|Schwaben|09-778-162
Lalling|Gemeinde|Deggendorf|Niederbayern|09-271-130
Lam|Markt|Cham|Oberpfalz|09-372-138
Lamerdingen|Gemeinde|Ostallgäu|Schwaben|09-777-145
Landau an der Isar|Stadt|Dingolfing-Landau|Niederbayern|09-279-122
Landensberg|Gemeinde|Günzburg|Schwaben|09-774-151
Landsberg am Lech|Große Kreisstadt|Landsberg am Lech|Oberbayern|09-181-130
Landsberied|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-132
Langdorf|Gemeinde|Regen|Niederbayern|09-276-129
Langenaltheim|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-148
Langenbach|Gemeinde|Freising|Oberbayern|09-178-138
Langenfeld|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-138
Langenmosen|Gemeinde|Neuburg-Schrobenhausen|Oberbayern|09-185-143
Langenneufnach|Gemeinde|Augsburg|Schwaben|09-772-168
Langenpreising|Gemeinde|Erding|Oberbayern|09-177-126
Langensendelbach|Gemeinde|Forchheim|Oberfranken|09-474-146
Langenzenn|Stadt|Fürth|Mittelfranken|09-573-120
Langerringen|Gemeinde|Augsburg|Schwaben|09-772-170
Langfurth|Gemeinde|Ansbach|Mittelfranken|09-571-170
Langquaid|Markt|Kelheim|Niederbayern|09-273-141
Langweid am Lech|Gemeinde|Augsburg|Schwaben|09-772-171
Lappersdorf|Markt|Regensburg|Oberpfalz|09-375-165
Lauben (Unterallgäu)|Gemeinde|Unterallgäu|Schwaben|09-778-163
Lauben (Oberallgäu)|Gemeinde|Oberallgäu|Schwaben|09-780-125
Laudenbach|Gemeinde|Miltenberg|Unterfranken|09-676-135
Lauf an der Pegnitz|Stadt|Nürnberger Land|Mittelfranken|09-574-138
Laufach|Gemeinde|Aschaffenburg|Unterfranken|09-671-139
Laufen (Salzach)|Stadt|Berchtesgadener Land|Oberbayern|09-172-122
Laugna|Gemeinde|Dillingen an der Donau|Schwaben|09-773-143
Lauingen (Donau)|Stadt|Dillingen an der Donau|Schwaben|09-773-144
Lauter|Gemeinde|Bamberg|Oberfranken|09-471-152
Lauterhofen|Markt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-140
Lautertal|Gemeinde|Coburg|Oberfranken|09-473-141
Lautrach|Gemeinde|Unterallgäu|Schwaben|09-778-164
Lechbruck am See|Gemeinde|Ostallgäu|Schwaben|09-777-147
Legau|Markt|Unterallgäu|Schwaben|09-778-165
Lehrberg|Markt|Ansbach|Mittelfranken|09-571-171
Leiblfing|Gemeinde|Straubing-Bogen|Niederbayern|09-278-146
Leidersbach|Gemeinde|Miltenberg|Unterfranken|09-676-136
Leinach|Gemeinde|Würzburg|Unterfranken|09-679-200
Leinburg|Gemeinde|Nürnberger Land|Mittelfranken|09-574-139
Leipheim|Stadt|Günzburg|Schwaben|09-774-155
Lengdorf|Gemeinde|Erding|Oberbayern|09-177-127
Lengenwang|Gemeinde|Ostallgäu|Schwaben|09-777-149
Lenggries|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-135
Lenting|Gemeinde|Eichstätt|Oberbayern|09-176-143
Leonberg|Gemeinde|Tirschenreuth|Oberpfalz|09-377-137
Leuchtenberg|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-132
Leupoldsgrün|Gemeinde|Hof|Oberfranken|09-475-145
Leutenbach|Gemeinde|Forchheim|Oberfranken|09-474-147
Leutershausen|Stadt|Ansbach|Mittelfranken|09-571-174
Lichtenau|Markt|Ansbach|Mittelfranken|09-571-175
